bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,fe_name,nobs,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,7,5,(5) agem^year^month + weekday,2643528,-0.148684,0.00845652,3.3799999999999994e-69,-14.8684,-16.5259,-13.2109,***
-15_10,1,≤10 °C,≤10 °C,cold,7,6,(6) agem^weekday + agem^year^month,2642643,-0.148938,0.00838803,1.5499999999999996e-70,-14.8938,-16.5378,-13.2497,***
-15_10,1,≤10 °C,≤10 °C,cold,7,7,(7) agem^year^month + date,2643528,-0.062577,0.0107119,5.16e-9,-6.2577,-8.35723,-4.15816,***
-15_10,1,≤10 °C,≤10 °C,cold,8,1,(1) agem + date,2761626,-0.0816997,0.0166993,9.96e-7,-8.16997,-11.443,-4.89691,***
-15_10,1,≤10 °C,≤10 °C,cold,8,2,(2) agem^yday + agem^year + date,2738859,-0.0789477,0.0167329,2.38e-6,-7.89477,-11.1744,-4.61511,***
-15_10,1,≤10 °C,≤10 °C,cold,8,3,(3) agem^week + state^year + weekday,2748411,-0.192398,0.0140057,6.089999999999999e-43,-19.2398,-21.9849,-16.4947,***
-15_10,1,≤10 °C,≤10 °C,cold,8,4,(4) agem + state^year + yday + weekday,2761626,-0.151675,0.0114297,3.45e-40,-15.1675,-17.4077,-12.9273,***
-15_10,1,≤10 °C,≤10 °C,cold,8,5,(5) agem^year^month + weekday,2643528,-0.149085,0.00994318,8.07e-51,-14.9085,-16.8574,-12.9597,***
-15_10,1,≤10 °C,≤10 °C,cold,8,6,(6) agem^weekday + agem^year^month,2642643,-0.148672,0.00997029,2.78e-50,-14.8672,-16.8214,-12.913,***
-15_10,1,≤10 °C,≤10 °C,cold,8,7,(7) agem^year^month + date,2643528,-0.0594896,0.0122357,1.16e-6,-5.94896,-8.34716,-3.55076,***
-15_10,1,≤10 °C,≤10 °C,cold,9,1,(1) agem + date,2761626,-0.0801145,0.016895,2.12e-6,-8.01145,-11.3229,-4.70004,***
-15_10,1,≤10 °C,≤10 °C,cold,9,2,(2) agem^yday + agem^year + date,2738859,-0.0780448,0.0174562,7.79e-6,-7.80448,-11.2259,-4.38306,***
-15_10,1,≤10 °C,≤10 °C,cold,9,3,(3) agem^week + state^year + weekday,2748411,-0.196055,0.0147513,2.62e-40,-19.6055,-22.4968,-16.7142,***
-15_10,1,≤10 °C,≤10 °C,cold,9,4,(4) agem + state^year + yday + weekday,2761626,-0.149334,0.0117232,3.6199999999999996e-37,-14.9334,-17.2311,-12.6357,***
-15_10,1,≤10 °C,≤10 °C,cold,9,5,(5) agem^year^month + weekday,2643528,-0.148484,0.0105917,1.19e-44,-14.8484,-16.9244,-12.7725,***
-15_10,1,≤10 °C,≤10 °C,cold,9,6,(6) agem^weekday + agem^year^month,2642643,-0.147994,0.0106627,8.43e-44,-14.7994,-16.8893,-12.7095,***
-15_10,1,≤10 °C,≤10 °C,cold,9,7,(7) agem^year^month + date,2643528,-0.056212,0.0124559,6.39e-6,-5.6212,-8.06256,-3.17985,***
-15_10,1,≤10 °C,≤10 °C,cold,10,1,(1) agem + date,2761626,-0.0682983,0.0179886,1.47e-4,-6.82983,-10.3556,-3.30408,***
-15_10,1,≤10 °C,≤10 °C,cold,10,2,(2) agem^yday + agem^year + date,2738859,-0.0672896,0.0185445,2.85e-4,-6.72896,-10.3637,-3.09423,***
-15_10,1,≤10 °C,≤10 °C,cold,10,3,(3) agem^week + state^year + weekday,2748411,-0.192057,0.0163153,5.47e-32,-19.2057,-22.4035,-16.0079,***
-15_10,1,≤10 °C,≤10 °C,cold,10,4,(4) agem + state^year + yday + weekday,2761626,-0.139816,0.0121177,8.47e-31,-13.9816,-16.3567,-11.6066,***
-15_10,1,≤10 °C,≤10 °C,cold,10,5,(5) agem^year^month + weekday,2643528,-0.142347,0.0115379,5.699999999999999e-35,-14.2347,-16.4961,-11.9732,***
-15_10,1,≤10 °C,≤10 °C,cold,10,6,(6) agem^weekday + agem^year^month,2642643,-0.142791,0.0117396,4.88e-34,-14.2791,-16.5801,-11.9782,***
-15_10,1,≤10 °C,≤10 °C,cold,10,7,(7) agem^year^month + date,2643528,-0.0424455,0.013357,0.00148,-4.24455,-6.86252,-1.62657,***
-15_10,1,≤10 °C,≤10 °C,cold,11,1,(1) agem + date,2761626,-0.0648207,0.0190914,6.86e-4,-6.48207,-10.224,-2.74016,***
