bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,group_order,group_label_en,group_label_es,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,15,20_40,3,20–40,20–40,-0.155947,0.018682,6.98e-17,-15.5947,-19.2564,-11.933,***
-15_10,1,≤10 °C,≤10 °C,cold,15,40_60,4,40–60,40–60,-0.142733,0.0188879,4.13e-14,-14.2733,-17.9753,-10.5713,***
-15_10,1,≤10 °C,≤10 °C,cold,15,60_80,5,60–80,60–80,-0.0618661,0.0193219,0.00137,-6.18661,-9.97369,-2.39952,***
-15_10,1,≤10 °C,≤10 °C,cold,15,80_130,6,80+,80+,0.034785,0.0296492,0.241,3.4785,-2.33275,9.28975,
-15_10,1,≤10 °C,≤10 °C,cold,16,0_12,1,0–12,0–12,-0.170716,0.0200248,1.53e-17,-17.0716,-20.9964,-13.1467,***
-15_10,1,≤10 °C,≤10 °C,cold,16,12_20,2,12–20,12–20,-0.195371,0.0174597,4.57e-29,-19.5371,-22.9592,-16.115,***
-15_10,1,≤10 °C,≤10 °C,cold,16,20_40,3,20–40,20–40,-0.156575,0.0154732,4.54e-24,-15.6575,-18.6902,-12.6248,***
-15_10,1,≤10 °C,≤10 °C,cold,16,40_60,4,40–60,40–60,-0.145333,0.0194121,7.06e-14,-14.5333,-18.3381,-10.7286,***
-15_10,1,≤10 °C,≤10 °C,cold,16,60_80,5,60–80,60–80,-0.0626114,0.0196406,0.00143,-6.26114,-10.1107,-2.41158,***
-15_10,1,≤10 °C,≤10 °C,cold,16,80_130,6,80+,80+,0.0443274,0.0321624,0.168,4.43274,-1.87109,10.7366,
-15_10,1,≤10 °C,≤10 °C,cold,17,0_12,1,0–12,0–12,-0.166974,0.0221037,4.22e-14,-16.6974,-21.0297,-12.3651,***
-15_10,1,≤10 °C,≤10 °C,cold,17,12_20,2,12–20,12–20,-0.189639,0.0192907,8.309999999999999e-23,-18.9639,-22.7448,-15.1829,***
-15_10,1,≤10 °C,≤10 °C,cold,17,20_40,3,20–40,20–40,-0.159882,0.0168057,1.8400000000000002e-21,-15.9882,-19.2821,-12.6943,***
-15_10,1,≤10 °C,≤10 °C,cold,17,40_60,4,40–60,40–60,-0.142096,0.0195759,3.91e-13,-14.2096,-18.0465,-10.3727,***
-15_10,1,≤10 °C,≤10 °C,cold,17,60_80,5,60–80,60–80,-0.0646752,0.0201987,0.00136,-6.46752,-10.4265,-2.50859,***
-15_10,1,≤10 °C,≤10 °C,cold,17,80_130,6,80+,80+,0.0368265,0.032698,0.26,3.68265,-2.72616,10.0915,
-15_10,1,≤10 °C,≤10 °C,cold,18,0_12,1,0–12,0–12,-0.157514,0.0226694,3.7e-12,-15.7514,-20.1946,-11.3082,***
-15_10,1,≤10 °C,≤10 °C,cold,18,12_20,2,12–20,12–20,-0.197097,0.020537,8.22e-22,-19.7097,-23.7349,-15.6845,***
-15_10,1,≤10 °C,≤10 °C,cold,18,20_40,3,20–40,20–40,-0.172586,0.0196843,1.82e-18,-17.2586,-21.1168,-13.4005,***
-15_10,1,≤10 °C,≤10 °C,cold,18,40_60,4,40–60,40–60,-0.152397,0.0202822,5.74e-14,-15.2397,-19.215,-11.2644,***
-15_10,1,≤10 °C,≤10 °C,cold,18,60_80,5,60–80,60–80,-0.0743165,0.0214999,5.47e-4,-7.43165,-11.6456,-3.21766,***
-15_10,1,≤10 °C,≤10 °C,cold,18,80_130,6,80+,80+,0.0213387,0.0345197,0.536,2.13387,-4.632,8.89974,
-15_10,1,≤10 °C,≤10 °C,cold,19,0_12,1,0–12,0–12,-0.153899,0.021861,1.92e-12,-15.3899,-19.6747,-11.1051,***
-15_10,1,≤10 °C,≤10 °C,cold,19,12_20,2,12–20,12–20,-0.191118,0.0222958,1.02e-17,-19.1118,-23.4818,-14.7418,***
-15_10,1,≤10 °C,≤10 °C,cold,19,20_40,3,20–40,20–40,-0.165753,0.0193312,9.96e-18,-16.5753,-20.3642,-12.7864,***
-15_10,1,≤10 °C,≤10 °C,cold,19,40_60,4,40–60,40–60,-0.144555,0.0200902,6.23e-13,-14.4555,-18.3932,-10.5178,***
-15_10,1,≤10 °C,≤10 °C,cold,19,60_80,5,60–80,60–80,-0.0582648,0.0212496,0.00611,-5.82648,-9.99141,-1.66155,***
-15_10,1,≤10 °C,≤10 °C,cold,19,80_130,6,80+,80+,0.0354906,0.0350906,0.312,3.54906,-3.3287,10.4268,
-15_10,1,≤10 °C,≤10 °C,cold,20,0_12,1,0–12,0–12,-0.1465,0.0222515,4.58e-11,-14.65,-19.0113,-10.2887,***
-15_10,1,≤10 °C,≤10 °C,cold,20,12_20,2,12–20,12–20,-0.191709,0.0219864,2.8e-18,-19.1709,-23.4802,-14.8615,***
-15_10,1,≤10 °C,≤10 °C,cold,20,20_40,3,20–40,20–40,-0.162745,0.0185213,1.54e-18,-16.2745,-19.9047,-12.6443,***
-15_10,1,≤10 °C,≤10 °C,cold,20,40_60,4,40–60,40–60,-0.142399,0.0203561,2.64e-12,-14.2399,-18.2297,-10.2501,***
-15_10,1,≤10 °C,≤10 °C,cold,20,60_80,5,60–80,60–80,-0.0613116,0.022176,0.0057,-6.13116,-10.4776,-1.78467,***
-15_10,1,≤10 °C,≤10 °C,cold,20,80_130,6,80+,80+,0.0234106,0.0360037,0.516,2.34106,-4.71566,9.39778,
-15_10,1,≤10 °C,≤10 °C,cold,21,0_12,1,0–12,0–12,-0.142398,0.0226259,3.1e-10,-14.2398,-18.6745,-9.80517,***
-15_10,1,≤10 °C,≤10 °C,cold,21,12_20,2,12–20,12–20,-0.195861,0.0220683,6.98e-19,-19.5861,-23.9115,-15.2608,***
-15_10,1,≤10 °C,≤10 °C,cold,21,20_40,3,20–40,20–40,-0.173396,0.0178369,2.45e-22,-17.3396,-20.8357,-13.8436,***
-15_10,1,≤10 °C,≤10 °C,cold,21,40_60,4,40–60,40–60,-0.153709,0.0199122,1.17e-14,-15.3709,-19.2737,-11.4681,***
-15_10,1,≤10 °C,≤10 °C,cold,21,60_80,5,60–80,60–80,-0.0736555,0.0222463,0.00093000000000000005,-7.36555,-11.7258,-3.00527,***
-15_10,1,≤10 °C,≤10 °C,cold,21,80_130,6,80+,80+,0.016341,0.0374288,0.662,1.6341,-5.70195,8.97014,
-15_10,1,≤10 °C,≤10 °C,cold,22,0_12,1,0–12,0–12,-0.132741,0.0227699,5.55e-9,-13.2741,-17.737,-8.81121,***
-15_10,1,≤10 °C,≤10 °C,cold,22,12_20,2,12–20,12–20,-0.196909,0.0222733,9.52e-19,-19.6909,-24.0565,-15.3254,***
-15_10,1,≤10 °C,≤10 °C,cold,22,20_40,3,20–40,20–40,-0.174389,0.0184587,3.47e-21,-17.4389,-21.0568,-13.821,***
-15_10,1,≤10 °C,≤10 °C,cold,22,40_60,4,40–60,40–60,-0.150662,0.0203331,1.27e-13,-15.0662,-19.0515,-11.0809,***
-15_10,1,≤10 °C,≤10 °C,cold,22,60_80,5,60–80,60–80,-0.0678682,0.0227624,0.00287,-6.78682,-11.2482,-2.3254,***
-15_10,1,≤10 °C,≤10 °C,cold,22,80_130,6,80+,80+,0.0102716,0.0372835,0.783,1.02716,-6.2804,8.33473,
-15_10,1,≤10 °C,≤10 °C,cold,23,0_12,1,0–12,0–12,-0.137649,0.0236783,6.12e-9,-13.7649,-18.4059,-9.12399,***
-15_10,1,≤10 °C,≤10 °C,cold,23,12_20,2,12–20,12–20,-0.208262,0.0236008,1.1e-18,-20.8262,-25.4519,-16.2004,***
-15_10,1,≤10 °C,≤10 °C,cold,23,20_40,3,20–40,20–40,-0.182306,0.0185806,1e-22,-18.2306,-21.8724,-14.5888,***
-15_10,1,≤10 °C,≤10 °C,cold,23,40_60,4,40–60,40–60,-0.149636,0.0204035,2.24e-13,-14.9636,-18.9627,-10.9645,***
-15_10,1,≤10 °C,≤10 °C,cold,23,60_80,5,60–80,60–80,-0.0690474,0.0236339,0.00348,-6.90474,-11.537,-2.2725,***
-15_10,1,≤10 °C,≤10 °C,cold,23,80_130,6,80+,80+,-1.62376e-4,0.0386822,0.997,-0.0162376,-7.59794,7.56546,
-15_10,1,≤10 °C,≤10 °C,cold,24,0_12,1,0–12,0–12,-0.124009,0.0235304,1.36e-7,-12.4009,-17.0129,-7.78896,***
