bin,bin_order,bin_label_en,bin_label_es,side,horizon,estimate,se,p,pct,ci_low,ci_high,stars
15_20,3,15–20 °C,15–20 °C,cold,25,-0.0469178,0.00639168,2.13e-13,-4.69178,-5.94455,-3.43901,***
15_20,3,15–20 °C,15–20 °C,cold,26,-0.0488724,0.00657798,1.09e-13,-4.88724,-6.17653,-3.59796,***
15_20,3,15–20 °C,15–20 °C,cold,27,-0.0495145,0.00664399,9.16e-14,-4.95145,-6.25367,-3.64923,***
15_20,3,15–20 °C,15–20 °C,cold,28,-0.0522816,0.00667613,4.84e-15,-5.22816,-6.53668,-3.91964,***
15_20,3,15–20 °C,15–20 °C,cold,29,-0.0532737,0.00672245,2.29e-15,-5.32737,-6.64497,-4.00977,***
15_20,3,15–20 °C,15–20 °C,cold,30,-0.052516,0.00690079,2.74e-14,-5.2516,-6.60415,-3.89904,***
25_30,5,25–30 °C,25–30 °C,hot,0,0.0246013,0.00186102,6.79e-40,2.46013,2.09537,2.82489,***
25_30,5,25–30 °C,25–30 °C,hot,1,0.0276943,0.00169425,4.65e-60,2.76943,2.43735,3.1015,***
25_30,5,25–30 °C,25–30 °C,hot,2,0.0295748,0.002195,2.23e-41,2.95748,2.52726,3.3877,***
25_30,5,25–30 °C,25–30 °C,hot,3,0.0295472,0.00283844,2.24e-25,2.95472,2.39839,3.51105,***
25_30,5,25–30 °C,25–30 °C,hot,4,0.0334932,0.00355966,5.0000000000000005e-21,3.34932,2.65163,4.04701,***
25_30,5,25–30 °C,25–30 °C,hot,5,0.0328999,0.00329859,1.9799999999999998e-23,3.28999,2.64346,3.93651,***
25_30,5,25–30 °C,25–30 °C,hot,6,0.0326169,0.00391612,8.16e-17,3.26169,2.49413,4.02925,***
25_30,5,25–30 °C,25–30 °C,hot,7,0.033896,0.0042333,1.18e-15,3.3896,2.55987,4.21933,***
25_30,5,25–30 °C,25–30 °C,hot,8,0.0322343,0.00412296,5.36e-15,3.22343,2.41533,4.03153,***
25_30,5,25–30 °C,25–30 °C,hot,9,0.0330365,0.00520574,2.21e-10,3.30365,2.28332,4.32397,***
25_30,5,25–30 °C,25–30 °C,hot,10,0.0266504,0.0050436,1.26e-7,2.66504,1.67649,3.65359,***
25_30,5,25–30 °C,25–30 °C,hot,11,0.0252098,0.00549649,4.51e-6,2.52098,1.44367,3.59829,***
25_30,5,25–30 °C,25–30 °C,hot,12,0.0240014,0.00556304,1.6e-5,2.40014,1.30979,3.4905,***
25_30,5,25–30 °C,25–30 °C,hot,13,0.0252997,0.00562874,6.97e-6,2.52997,1.42673,3.6332,***
25_30,5,25–30 °C,25–30 °C,hot,14,0.0267074,0.00627768,2.1e-5,2.67074,1.44031,3.90116,***
25_30,5,25–30 °C,25–30 °C,hot,15,0.026664,0.00616088,1.5e-5,2.6664,1.4588699999999999,3.87394,***
25_30,5,25–30 °C,25–30 °C,hot,16,0.0266639,0.00687462,1.05e-4,2.66639,1.31896,4.01381,***
25_30,5,25–30 °C,25–30 °C,hot,17,0.0244631,0.006453,1.5e-4,2.44631,1.18152,3.7111,***
25_30,5,25–30 °C,25–30 °C,hot,18,0.0258113,0.00668615,1.13e-4,2.58113,1.27065,3.89162,***
25_30,5,25–30 °C,25–30 °C,hot,19,0.0269285,0.00692796,1.02e-4,2.69285,1.33497,4.05073,***
25_30,5,25–30 °C,25–30 °C,hot,20,0.027545,0.00687322,6.13e-5,2.7545,1.40735,4.10165,***
25_30,5,25–30 °C,25–30 °C,hot,21,0.0293927,0.00724985,5.03e-5,2.93927,1.5183,4.36024,***
25_30,5,25–30 °C,25–30 °C,hot,22,0.0285712,0.00724954,8.11e-5,2.85712,1.43621,4.27803,***
25_30,5,25–30 °C,25–30 °C,hot,23,0.0332835,0.00744058,7.7e-6,3.32835,1.87,4.78671,***
25_30,5,25–30 °C,25–30 °C,hot,24,0.0347907,0.00726588,1.68e-6,3.47907,2.05496,4.90318,***
25_30,5,25–30 °C,25–30 °C,hot,25,0.0352071,0.00789785,8.28e-6,3.52071,1.97273,5.06869,***
25_30,5,25–30 °C,25–30 °C,hot,26,0.037663,0.00782886,1.5e-6,3.7663,2.23185,5.30076,***
25_30,5,25–30 °C,25–30 °C,hot,27,0.035506,0.00786418,6.33e-6,3.5506,2.00922,5.09197,***
25_30,5,25–30 °C,25–30 °C,hot,28,0.0408715,0.00811167,4.69e-7,4.08715,2.49726,5.67704,***
25_30,5,25–30 °C,25–30 °C,hot,29,0.0406015,0.00803586,4.36e-7,4.06015,2.48512,5.63518,***
25_30,5,25–30 °C,25–30 °C,hot,30,0.0446652,0.0083735,9.6e-8,4.46652,2.82531,6.10773,***
30_45,6,>30 °C,>30 °C,hot,0,0.0373507,0.0033501,7.23e-29,3.73507,3.07845,4.39169,***
30_45,6,>30 °C,>30 °C,hot,1,0.034518,0.00373452,2.4e-20,3.4518,2.71983,4.18376,***
30_45,6,>30 °C,>30 °C,hot,2,0.0374372,0.0047147,2.01e-15,3.74372,2.81964,4.6678,***
30_45,6,>30 °C,>30 °C,hot,3,0.041712,0.00567606,2e-13,4.1712,3.05869,5.2837,***
30_45,6,>30 °C,>30 °C,hot,4,0.0434738,0.00646056,1.71e-11,4.34738,3.08111,5.61365,***
30_45,6,>30 °C,>30 °C,hot,5,0.0458801,0.00633251,4.32e-13,4.58801,3.34684,5.82919,***
30_45,6,>30 °C,>30 °C,hot,6,0.0439553,0.007037,4.2e-10,4.39553,3.01628,5.77479,***
30_45,6,>30 °C,>30 °C,hot,7,0.0413768,0.00745035,2.8e-8,4.13768,2.67741,5.59794,***
30_45,6,>30 °C,>30 °C,hot,8,0.0370226,0.00749615,7.86e-7,3.70226,2.23301,5.17151,***
30_45,6,>30 °C,>30 °C,hot,9,0.0349105,0.008555,4.49e-5,3.49105,1.81427,5.16783,***
30_45,6,>30 °C,>30 °C,hot,10,0.025635,0.00883832,0.00373,2.5635,0.831188,4.29581,***
30_45,6,>30 °C,>30 °C,hot,11,0.018489,0.00862792,0.0321,1.8489,0.157832,3.53997,**
30_45,6,>30 °C,>30 °C,hot,12,0.01782,0.0085377,0.0369,1.782,0.108614,3.45539,**
30_45,6,>30 °C,>30 °C,hot,13,0.0218562,0.00851962,0.0103,2.18562,0.515769,3.85546,**
30_45,6,>30 °C,>30 °C,hot,14,0.0228072,0.00895457,0.0109,2.28072,0.525623,4.03582,**
30_45,6,>30 °C,>30 °C,hot,15,0.0252059,0.00967982,0.00922,2.52059,0.623343,4.41783,***
30_45,6,>30 °C,>30 °C,hot,16,0.0219386,0.0104075,0.035,2.19386,0.154,4.23373,**
30_45,6,>30 °C,>30 °C,hot,17,0.0204824,0.00946264,0.0304,2.04824,0.193565,3.90292,**
30_45,6,>30 °C,>30 °C,hot,18,0.0187464,0.00981396,0.0561,1.87464,-0.0488991,3.79817,*
30_45,6,>30 °C,>30 °C,hot,19,0.0187191,0.0106314,0.0783,1.87191,-0.211849,3.95566,*
30_45,6,>30 °C,>30 °C,hot,20,0.016728,0.0102029,0.101,1.6728,-0.326972,3.67258,
30_45,6,>30 °C,>30 °C,hot,21,0.0205898,0.0104769,0.0494,2.05898,0.00550014,4.11245,**
30_45,6,>30 °C,>30 °C,hot,22,0.0182226,0.0104955,0.0825,1.82226,-0.23487,3.87939,*
30_45,6,>30 °C,>30 °C,hot,23,0.0223107,0.0111455,0.0453,2.23107,0.046549599999999997,4.41559,**
30_45,6,>30 °C,>30 °C,hot,24,0.023578000000000002,0.0108997,0.0305,2.3578,0.221459,4.49414,**
30_45,6,>30 °C,>30 °C,hot,25,0.0269983,0.0113348,0.0172,2.69983,0.478204,4.92146,**
30_45,6,>30 °C,>30 °C,hot,26,0.0231598,0.0107325,0.0309,2.31598,0.21242,4.41955,**
30_45,6,>30 °C,>30 °C,hot,27,0.0239749,0.0113195,0.0342,2.39749,0.178877,4.61611,**
30_45,6,>30 °C,>30 °C,hot,28,0.0269883,0.0115049,0.019,2.69883,0.443876,4.95379,**
30_45,6,>30 °C,>30 °C,hot,29,0.0299408,0.0118256,0.0113,2.99408,0.676261,5.3119,**
30_45,6,>30 °C,>30 °C,hot,30,0.0270759,0.011837,0.0222,2.70759,0.387549,5.02764,**
