bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,15,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.237595,0.0384953,6.74e-10,23.7595,16.2145,31.3046,***
-15_10,1,≤10 °C,≤10 °C,cold,16,circ,Circulatory,Circulatorias,12187862,0.534539,0.0173579,3.039999999999999e-208,53.4539,50.0517,56.856,***
-15_10,1,≤10 °C,≤10 °C,cold,16,non_circ,Non-circulatory,No circulatorias,15588381,0.356476,0.0149688,2.3599999999999996e-125,35.6476,32.7137,38.5815,***
-15_10,1,≤10 °C,≤10 °C,cold,16,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.275356,0.0427765,1.22e-10,27.5356,19.1514,35.9198,***
-15_10,1,≤10 °C,≤10 °C,cold,17,circ,Circulatory,Circulatorias,12187862,0.557528,0.0184227,3.509999999999999e-201,55.7528,52.142,59.3637,***
-15_10,1,≤10 °C,≤10 °C,cold,17,non_circ,Non-circulatory,No circulatorias,15588381,0.366047,0.0164385,7.599999999999998e-110,36.6047,33.3827,39.8266,***
-15_10,1,≤10 °C,≤10 °C,cold,17,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.303982,0.0428891,1.36e-12,30.3982,21.9919,38.8045,***
-15_10,1,≤10 °C,≤10 °C,cold,18,circ,Circulatory,Circulatorias,12187862,0.568407,0.0195943,5.0999999999999984e-185,56.8407,53.0002,60.6812,***
-15_10,1,≤10 °C,≤10 °C,cold,18,non_circ,Non-circulatory,No circulatorias,15588381,0.379884,0.0164723,1.1099999999999998e-117,37.9884,34.7598,41.2169,***
-15_10,1,≤10 °C,≤10 °C,cold,18,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.314437,0.0469441,2.11e-11,31.4437,22.2427,40.6448,***
-15_10,1,≤10 °C,≤10 °C,cold,19,circ,Circulatory,Circulatorias,12187862,0.580386,0.0196603,1.5599999999999992e-191,58.0386,54.1852,61.892,***
-15_10,1,≤10 °C,≤10 °C,cold,19,non_circ,Non-circulatory,No circulatorias,15588381,0.383114,0.016639,2.6199999999999997e-117,38.3114,35.0501,41.5726,***
-15_10,1,≤10 °C,≤10 °C,cold,19,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.357861,0.0489547,2.67e-13,35.7861,26.1909,45.3812,***
-15_10,1,≤10 °C,≤10 °C,cold,20,circ,Circulatory,Circulatorias,12187862,0.59397,0.0202228,1.2799999999999994e-189,59.397,55.4333,63.3607,***
-15_10,1,≤10 °C,≤10 °C,cold,20,non_circ,Non-circulatory,No circulatorias,15588381,0.397629,0.017269,2.5799999999999996e-117,39.7629,36.3782,43.1477,***
-15_10,1,≤10 °C,≤10 °C,cold,20,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.364909,0.0506317,5.71e-13,36.4909,26.5671,46.4147,***
-15_10,1,≤10 °C,≤10 °C,cold,21,circ,Circulatory,Circulatorias,12187862,0.606923,0.020515,2.379999999999999e-192,60.6923,56.6714,64.7133,***
-15_10,1,≤10 °C,≤10 °C,cold,21,non_circ,Non-circulatory,No circulatorias,15588381,0.400385,0.0184413,1.5999999999999996e-104,40.0385,36.424,43.653,***
-15_10,1,≤10 °C,≤10 °C,cold,21,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.425845,0.0536689,2.11e-15,42.5845,32.0654,53.1036,***
-15_10,1,≤10 °C,≤10 °C,cold,22,circ,Circulatory,Circulatorias,12187862,0.608855,0.0213443,5.6599999999999986e-179,60.8855,56.7021,65.069,***
-15_10,1,≤10 °C,≤10 °C,cold,22,non_circ,Non-circulatory,No circulatorias,15588381,0.41209,0.0182948,2.3599999999999994e-112,41.209,37.6232,44.7948,***
-15_10,1,≤10 °C,≤10 °C,cold,22,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.462318,0.054439,2.02e-17,46.2318,35.5617,56.9018,***
-15_10,1,≤10 °C,≤10 °C,cold,23,circ,Circulatory,Circulatorias,12187862,0.628592,0.0212877,1.2399999999999994e-191,62.8592,58.6868,67.0316,***
-15_10,1,≤10 °C,≤10 °C,cold,23,non_circ,Non-circulatory,No circulatorias,15588381,0.424682,0.017687,2.1299999999999993e-127,42.4682,39.0016,45.9348,***
-15_10,1,≤10 °C,≤10 °C,cold,23,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.512879,0.0565813,1.25e-19,51.2879,40.1979,62.3778,***
-15_10,1,≤10 °C,≤10 °C,cold,24,circ,Circulatory,Circulatorias,12187862,0.632497,0.0224417,9.169999999999997e-175,63.2497,58.8511,67.6483,***
-15_10,1,≤10 °C,≤10 °C,cold,24,non_circ,Non-circulatory,No circulatorias,15588381,0.426626,0.0190671,6.909999999999999e-111,42.6626,38.9254,46.3997,***
-15_10,1,≤10 °C,≤10 °C,cold,24,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.536236,0.0596713,2.55e-19,53.6236,41.928,65.3191,***
-15_10,1,≤10 °C,≤10 °C,cold,25,circ,Circulatory,Circulatorias,12187862,0.63542,0.0234159,3.679999999999999e-162,63.542,58.9525,68.1315,***
-15_10,1,≤10 °C,≤10 °C,cold,25,non_circ,Non-circulatory,No circulatorias,15588381,0.43752,0.019464,6.759999999999998e-112,43.752,39.937,47.5669,***
-15_10,1,≤10 °C,≤10 °C,cold,25,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.56212,0.0625179,2.44e-19,56.212,43.9585,68.4655,***
-15_10,1,≤10 °C,≤10 °C,cold,26,circ,Circulatory,Circulatorias,12187862,0.647808,0.0231304,1.3399999999999997e-172,64.7808,60.2473,69.3144,***
-15_10,1,≤10 °C,≤10 °C,cold,26,non_circ,Non-circulatory,No circulatorias,15588381,0.441753,0.0205563,1.9399999999999998e-102,44.1753,40.1462,48.2043,***
-15_10,1,≤10 °C,≤10 °C,cold,26,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.575431,0.0619726,1.61e-20,57.5431,45.3965,69.6897,***
-15_10,1,≤10 °C,≤10 °C,cold,27,circ,Circulatory,Circulatorias,12187862,0.653811,0.0230123,1.4599999999999996e-177,65.3811,60.8707,69.8915,***
-15_10,1,≤10 °C,≤10 °C,cold,27,non_circ,Non-circulatory,No circulatorias,15588381,0.44576,0.0201471,1.7999999999999997e-108,44.576,40.6271,48.5248,***
-15_10,1,≤10 °C,≤10 °C,cold,27,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.604289,0.0671635,2.31e-19,60.4289,47.2649,73.5929,***
-15_10,1,≤10 °C,≤10 °C,cold,28,circ,Circulatory,Circulatorias,12187862,0.660227,0.0237044,9.999999999999996e-171,66.0227,61.3767,70.6688,***
-15_10,1,≤10 °C,≤10 °C,cold,28,non_circ,Non-circulatory,No circulatorias,15588381,0.448531,0.0205049,4.569999999999999e-106,44.8531,40.8341,48.8721,***
-15_10,1,≤10 °C,≤10 °C,cold,28,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.601063,0.0689639,2.89e-18,60.1063,46.5894,73.6232,***
-15_10,1,≤10 °C,≤10 °C,cold,29,circ,Circulatory,Circulatorias,12187862,0.658514,0.0225559,2.2599999999999995e-187,65.8514,61.4304,70.2723,***
-15_10,1,≤10 °C,≤10 °C,cold,29,non_circ,Non-circulatory,No circulatorias,15588381,0.456984,0.0211264,9.199999999999997e-104,45.6984,41.5576,49.8392,***
-15_10,1,≤10 °C,≤10 °C,cold,29,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.593577,0.0696093,1.5e-17,59.3577,45.7143,73.0011,***
-15_10,1,≤10 °C,≤10 °C,cold,30,circ,Circulatory,Circulatorias,12187862,0.66744,0.0235918,4.429999999999998e-176,66.744,62.12,71.368,***
-15_10,1,≤10 °C,≤10 °C,cold,30,non_circ,Non-circulatory,No circulatorias,15588381,0.458716,0.0215555,1.7099999999999998e-100,45.8716,41.6467,50.0965,***
-15_10,1,≤10 °C,≤10 °C,cold,30,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.604919,0.0729844,1.15e-16,60.4919,46.187,74.7969,***
10_15,2,10–15 °C,10–15 °C,cold,0,circ,Circulatory,Circulatorias,12187862,-0.0137722,0.00364034,1.55e-4,-1.3772200000000001,-2.09073,-0.663718,***
10_15,2,10–15 °C,10–15 °C,cold,0,non_circ,Non-circulatory,No circulatorias,15588381,-0.0359749,0.00346606,3.08e-25,-3.59749,-4.27684,-2.91815,***
10_15,2,10–15 °C,10–15 °C,cold,0,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,-0.00893399,0.00770155,0.246,-0.893399,-2.4029,0.616104,
10_15,2,10–15 °C,10–15 °C,cold,1,circ,Circulatory,Circulatorias,12187862,0.00949391,0.00448383,0.0342,0.949391,0.0705603,1.82822,**
10_15,2,10–15 °C,10–15 °C,cold,1,non_circ,Non-circulatory,No circulatorias,15588381,-0.015036,0.00382547,8.48e-5,-1.5036,-2.2534,-0.753813,***
