hid,agem_mode,mode_share,clues_ent,mode_ent
JCSSA009533,14110,0.9615384615384616,14,14
JCSSA013045,14073,0.9844973573032119,14,14
JCSSA013050,14083,0.7746975913603605,14,14
JCSSA013091,14078,0.881588349382422,14,14
JCSSA013506,14124,0.6848618945730403,14,14
JCSSA013692,14063,0.6236297555542529,14,14
JCSSA013745,14017,0.5,14,14
JCSSA013762,14013,0.8539204511368409,14,14
JCSSA013815,14018,0.5512341325811001,14,14
MCCRO000013,15035,1,15,15
MCDIF002795,15024,0.5555555555555556,15,15
MCIMO000093,15124,0.75,15,15
MCSSA000224,15002,0.9064129504241575,15,15
MCSSA000236,15033,0.2976545048399106,15,15
MCSSA000241,15002,0.16933638443935928,15,15
MCSSA000871,15009,0.5994401885680612,15,15
MCSSA000982,15012,0.6079517679648037,15,15
MCSSA001011,15013,0.8462780359555349,15,15
MCSSA001484,15021,0.981990562362007,15,15
MCSSA001636,15024,0.26443512674984604,15,15
MCSSA001682,15025,0.9165831404637375,15,15
MCSSA002020,15031,0.9809089435788206,15,15
MCSSA002184,15033,0.9861193194189555,15,15
MCSSA002435,15035,0.9406640981620454,15,15
MCSSA002534,15037,0.9836567716470686,15,15
MCSSA002761,15039,0.9032365355527927,15,15
MCSSA002773,15039,0.5200559701492538,15,15
MCSSA002872,15042,0.7905602741767248,15,15
MCSSA003106,15043,0.5375646309479206,15,15
MCSSA004074,15057,0.9803823592794235,15,15
MCSSA004231,15058,0.9796401068242009,15,15
MCSSA004692,15064,0.8728902953586498,15,15
MCSSA004791,15065,0.7325233530740582,15,15
MCSSA005095,15074,0.9719719975705655,15,15
MCSSA005556,15080,0.9806218767351471,15,15
MCSSA005730,15082,0.9403833323723941,15,15
MCSSA006430,15088,0.7964333006133353,15,15
MCSSA006536,15090,0.8693498324734321,15,15
MCSSA006780,15094,0.7240300912462696,15,15
MCSSA006874,15097,0.8910483930188725,15,15
MCSSA007253,15104,0.5862068965517241,15,15
MCSSA007265,15104,0.9703001385254733,15,15
MCSSA007586,15105,0.9038802179071556,15,15
MCSSA007661,15106,0.9984035153072472,15,15
MCSSA007673,15106,0.7328878708444597,15,15
MCSSA007982,15110,0.7388857381792316,15,15
MCSSA008233,15113,0.988959411847009,15,15
