bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,n_mun,mrate,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,23,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.169166,0.0197137,9.39e-18,-16.9166,-20.7805,-13.0527,***
-15_10,1,≤10 °C,≤10 °C,cold,23,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0575695,0.0264386,0.0294,-5.75695,-10.9389,-0.574987,**
-15_10,1,≤10 °C,≤10 °C,cold,24,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.164402,0.0193619,2.05e-17,-16.4402,-20.2351,-12.6452,***
-15_10,1,≤10 °C,≤10 °C,cold,24,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0442863,0.0323623,0.171,-4.42863,-10.7716,1.91437,
-15_10,1,≤10 °C,≤10 °C,cold,25,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.16655,0.0200613,1.02e-16,-16.655,-20.587,-12.723,***
-15_10,1,≤10 °C,≤10 °C,cold,25,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0590701,0.0278677,0.034,-5.90701,-11.3691,-0.444934,**
-15_10,1,≤10 °C,≤10 °C,cold,26,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.173671,0.0213051,3.59e-16,-17.3671,-21.5429,-13.1912,***
-15_10,1,≤10 °C,≤10 °C,cold,26,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.077087,0.0275281,0.00511,-7.7087,-13.1042,-2.3132,***
-15_10,1,≤10 °C,≤10 °C,cold,27,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.173358,0.0192396,2.05e-19,-17.3358,-21.1068,-13.5649,***
-15_10,1,≤10 °C,≤10 °C,cold,27,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0737069,0.0286806,0.0102,-7.37069,-12.9921,-1.74929,**
-15_10,1,≤10 °C,≤10 °C,cold,28,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.179515,0.0205569,2.49e-18,-17.9515,-21.9806,-13.9223,***
-15_10,1,≤10 °C,≤10 °C,cold,28,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.085122,0.0290194,0.00335,-8.5122,-14.2,-2.82441,***
-15_10,1,≤10 °C,≤10 °C,cold,29,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.184811,0.020299,8.67e-20,-18.4811,-22.4597,-14.5025,***
-15_10,1,≤10 °C,≤10 °C,cold,29,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0894633,0.0286242,0.00178,-8.94633,-14.5567,-3.33599,***
-15_10,1,≤10 °C,≤10 °C,cold,30,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.172796,0.0211453,3.04e-16,-17.2796,-21.4241,-13.1351,***
-15_10,1,≤10 °C,≤10 °C,cold,30,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0816225,0.0275459,0.00305,-8.16225,-13.5613,-2.76324,***
10_15,2,10–15 °C,10–15 °C,cold,0,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.056793,0.00269124,7.479999999999997e-99,-5.6793,-6.20678,-5.15181,***
10_15,2,10–15 °C,10–15 °C,cold,0,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0362125,0.00360237,8.96e-24,-3.62125,-4.32732,-2.91519,***
10_15,2,10–15 °C,10–15 °C,cold,1,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0760342,0.00315504,2.539999999999999e-128,-7.60342,-8.22181,-6.98503,***
10_15,2,10–15 °C,10–15 °C,cold,1,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0493159,0.00399487,5.2e-35,-4.93159,-5.71458,-4.1485900000000004,***
10_15,2,10–15 °C,10–15 °C,cold,2,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0798852,0.00352917,1.9299999999999995e-113,-7.98852,-8.68024,-7.2968,***
10_15,2,10–15 °C,10–15 °C,cold,2,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0440628,0.00497893,8.76e-19,-4.40628,-5.38215,-3.43041,***
10_15,2,10–15 °C,10–15 °C,cold,3,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0879084,0.00387846,9.739999999999998e-114,-8.79084,-9.55102,-8.03067,***
10_15,2,10–15 °C,10–15 °C,cold,3,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0516692,0.00536479,5.91e-22,-5.16692,-6.21842,-4.11542,***
10_15,2,10–15 °C,10–15 °C,cold,4,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0934163,0.00455092,1.2399999999999997e-93,-9.34163,-10.2336,-8.44965,***
10_15,2,10–15 °C,10–15 °C,cold,4,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0528302,0.00577468,5.77e-20,-5.28302,-6.41485,-4.15118,***
