bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,group_order,group_label_en,group_label_es,estimate,se,p,pct,ci_low,ci_high,stars
10_15,2,10–15 °C,10–15 °C,cold,14,male,2,Men,Hombres,-0.0868676,0.00891975,2.0600000000000001e-22,-8.68676,-10.435,-6.93849,***
10_15,2,10–15 °C,10–15 °C,cold,15,female,1,Women,Mujeres,-0.0922369,0.00748483,6.7999999999999995e-35,-9.22369,-10.6907,-7.75666,***
10_15,2,10–15 °C,10–15 °C,cold,15,male,2,Men,Hombres,-0.0883475,0.00885789,1.9799999999999998e-23,-8.83475,-10.5709,-7.09861,***
10_15,2,10–15 °C,10–15 °C,cold,16,female,1,Women,Mujeres,-0.096946,0.00813783,1.0099999999999999e-32,-9.6946,-11.2896,-8.09959,***
10_15,2,10–15 °C,10–15 °C,cold,16,male,2,Men,Hombres,-0.091602,0.00957402,1.0900000000000001e-21,-9.1602,-11.0367,-7.28369,***
10_15,2,10–15 °C,10–15 °C,cold,17,female,1,Women,Mujeres,-0.0981496,0.00806309,4.35e-34,-9.81496,-11.3953,-8.23459,***
10_15,2,10–15 °C,10–15 °C,cold,17,male,2,Men,Hombres,-0.0918362,0.0101683,1.69e-19,-9.18362,-11.1766,-7.19063,***
10_15,2,10–15 °C,10–15 °C,cold,18,female,1,Women,Mujeres,-0.101035,0.00786332,8.72e-38,-10.1035,-11.6447,-8.56233,***
10_15,2,10–15 °C,10–15 °C,cold,18,male,2,Men,Hombres,-0.0915485,0.0101294,1.6e-19,-9.15485,-11.1402,-7.16948,***
10_15,2,10–15 °C,10–15 °C,cold,19,female,1,Women,Mujeres,-0.0986319,0.00853104,6.449999999999999e-31,-9.86319,-11.5353,-8.19111,***
10_15,2,10–15 °C,10–15 °C,cold,19,male,2,Men,Hombres,-0.0899041,0.010534,1.41e-17,-8.99041,-11.0551,-6.92574,***
10_15,2,10–15 °C,10–15 °C,cold,20,female,1,Women,Mujeres,-0.0984693,0.00846649,2.88e-31,-9.84693,-11.5064,-8.1875,***
10_15,2,10–15 °C,10–15 °C,cold,20,male,2,Men,Hombres,-0.0894986,0.0106744,5.1e-17,-8.94986,-11.0421,-6.85768,***
10_15,2,10–15 °C,10–15 °C,cold,21,female,1,Women,Mujeres,-0.103779,0.00887138,1.3e-31,-10.3779,-12.1166,-8.63906,***
10_15,2,10–15 °C,10–15 °C,cold,21,male,2,Men,Hombres,-0.0955131,0.0113523,3.98e-17,-9.55131,-11.7764,-7.32626,***
10_15,2,10–15 °C,10–15 °C,cold,22,female,1,Women,Mujeres,-0.105624,0.00908559,3.0599999999999997e-31,-10.5624,-12.3432,-8.78165,***
10_15,2,10–15 °C,10–15 °C,cold,22,male,2,Men,Hombres,-0.0945272,0.0113535,8.38e-17,-9.45272,-11.678,-7.22743,***
10_15,2,10–15 °C,10–15 °C,cold,23,female,1,Women,Mujeres,-0.108849,0.00950181,2.2e-30,-10.8849,-12.7473,-9.02257,***
10_15,2,10–15 °C,10–15 °C,cold,23,male,2,Men,Hombres,-0.096072,0.0116047,1.24e-16,-9.6072,-11.8817,-7.33268,***
10_15,2,10–15 °C,10–15 °C,cold,24,female,1,Women,Mujeres,-0.111263,0.00952505,1.5899999999999998e-31,-11.1263,-12.9932,-9.25939,***
10_15,2,10–15 °C,10–15 °C,cold,24,male,2,Men,Hombres,-0.0979068,0.0116231,3.66e-17,-9.79068,-12.0688,-7.51255,***
10_15,2,10–15 °C,10–15 °C,cold,25,female,1,Women,Mujeres,-0.114928,0.00971544,2.7499999999999996e-32,-11.4928,-13.397,-9.5886,***
10_15,2,10–15 °C,10–15 °C,cold,25,male,2,Men,Hombres,-0.100302,0.0116865,9.27e-18,-10.0302,-12.3208,-7.73965,***
10_15,2,10–15 °C,10–15 °C,cold,26,female,1,Women,Mujeres,-0.120262,0.0100086,2.93e-33,-12.0262,-13.9879,-10.0645,***
10_15,2,10–15 °C,10–15 °C,cold,26,male,2,Men,Hombres,-0.103829,0.0118412,1.81e-18,-10.3829,-12.7037,-8.06199,***
10_15,2,10–15 °C,10–15 °C,cold,27,female,1,Women,Mujeres,-0.120951,0.0104193,3.7399999999999996e-31,-12.0951,-14.1372,-10.0529,***
10_15,2,10–15 °C,10–15 °C,cold,27,male,2,Men,Hombres,-0.107472,0.0122995,2.37e-18,-10.7472,-13.1579,-8.33651,***
10_15,2,10–15 °C,10–15 °C,cold,28,female,1,Women,Mujeres,-0.123394,0.0112879,8.14e-28,-12.3394,-14.5519,-10.127,***
10_15,2,10–15 °C,10–15 °C,cold,28,male,2,Men,Hombres,-0.107742,0.012491500000000001,6.4e-18,-10.7742,-13.2225,-8.32586,***
10_15,2,10–15 °C,10–15 °C,cold,29,female,1,Women,Mujeres,-0.128295,0.0107739,1.0799999999999999e-32,-12.8295,-14.9412,-10.7178,***
10_15,2,10–15 °C,10–15 °C,cold,29,male,2,Men,Hombres,-0.10889,0.0122754,7.27e-19,-10.889,-13.295,-8.48306,***
10_15,2,10–15 °C,10–15 °C,cold,30,female,1,Women,Mujeres,-0.123817,0.0113824,1.4700000000000002e-27,-12.3817,-14.6127,-10.1508,***
10_15,2,10–15 °C,10–15 °C,cold,30,male,2,Men,Hombres,-0.107222,0.0126251,2.02e-17,-10.7222,-13.1967,-8.24768,***
15_20,3,15–20 °C,15–20 °C,cold,0,female,1,Women,Mujeres,-0.0259381,0.00161275,3.35e-58,-2.59381,-2.90991,-2.27771,***
15_20,3,15–20 °C,15–20 °C,cold,0,male,2,Men,Hombres,-0.0291592,0.00220494,6.34e-40,-2.91592,-3.34809,-2.48375,***
15_20,3,15–20 °C,15–20 °C,cold,1,female,1,Women,Mujeres,-0.0312772,0.00199399,1.8899999999999996e-55,-3.12772,-3.51854,-2.7369,***
15_20,3,15–20 °C,15–20 °C,cold,1,male,2,Men,Hombres,-0.0375535,0.00213123,1.7099999999999996e-69,-3.75535,-4.17307,-3.33763,***
15_20,3,15–20 °C,15–20 °C,cold,2,female,1,Women,Mujeres,-0.032151,0.00221329,8.249999999999999e-48,-3.2151,-3.64891,-2.7813,***
15_20,3,15–20 °C,15–20 °C,cold,2,male,2,Men,Hombres,-0.0367171,0.00272636,2.43e-41,-3.67171,-4.20608,-3.13735,***
15_20,3,15–20 °C,15–20 °C,cold,3,female,1,Women,Mujeres,-0.03472,0.00254526,2.2799999999999997e-42,-3.472,-3.97087,-2.97313,***
15_20,3,15–20 °C,15–20 °C,cold,3,male,2,Men,Hombres,-0.0386763,0.00318055,5.06e-34,-3.86763,-4.49102,-3.24425,***
15_20,3,15–20 °C,15–20 °C,cold,4,female,1,Women,Mujeres,-0.0359126,0.00314157,2.9099999999999998e-30,-3.59126,-4.207,-2.97551,***
15_20,3,15–20 °C,15–20 °C,cold,4,male,2,Men,Hombres,-0.0407595,0.00354142,1.1799999999999999e-30,-4.07595,-4.77007,-3.38184,***
15_20,3,15–20 °C,15–20 °C,cold,5,female,1,Women,Mujeres,-0.0339792,0.00293313,4.929999999999999e-31,-3.39792,-3.97282,-2.82303,***
15_20,3,15–20 °C,15–20 °C,cold,5,male,2,Men,Hombres,-0.0360757,0.00325659,1.61e-28,-3.60757,-4.24586,-2.96928,***
15_20,3,15–20 °C,15–20 °C,cold,6,female,1,Women,Mujeres,-0.0366422,0.00356519,8.88e-25,-3.66422,-4.363,-2.96544,***
15_20,3,15–20 °C,15–20 °C,cold,6,male,2,Men,Hombres,-0.0352395,0.00412078,1.21e-17,-3.52395,-4.33163,-2.71628,***
15_20,3,15–20 °C,15–20 °C,cold,7,female,1,Women,Mujeres,-0.0359019,0.00373218,6.61e-22,-3.59019,-4.3217,-2.85868,***
15_20,3,15–20 °C,15–20 °C,cold,7,male,2,Men,Hombres,-0.034358,0.0041188,7.32e-17,-3.4358,-4.24309,-2.62852,***
15_20,3,15–20 °C,15–20 °C,cold,8,female,1,Women,Mujeres,-0.0356444,0.00376257,2.7100000000000004e-21,-3.56444,-4.3019,-2.82697,***
15_20,3,15–20 °C,15–20 °C,cold,8,male,2,Men,Hombres,-0.0311166,0.00442663,2.07e-12,-3.11166,-3.97928,-2.24404,***
